4.26839E+17,1/24/14 22:09,0,0,Echofon  Android,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26839E+17,1/24/14 22:09,0,0,Twitter for iPhone,RT @billpostmus: #BREAKING: The Obama administration cannot enforce the Affordable Care Acts contraception coverage requirements agai via,0,affordable care act
4.26839E+17,1/24/14 22:07,0,0,RoundTeam,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26839E+17,1/24/14 22:07,0,0,web,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26839E+17,1/24/14 22:07,0,0,web,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26839E+17,1/24/14 22:07,0,0,RoundTeam,RT @billpostmus: #BREAKING: The Obama administration cannot enforce the Affordable Care Acts contraception coverage requirements agai via,0,affordable care act
4.26839E+17,1/24/14 22:07,0,0,Tweet Old Post,"Bills Proposed in Several States Would Nullify Affordable... http://t.co/I4QS8LJwIM
 #AffordableCareAct #SouthCarolinaSen #SupremacyClause",0,affordable care act
4.26838E+17,1/24/14 22:05,0,0,Twitter for Android,RT @HarvardHSPH: Our experts were talking #Obamacare over @BU_Law today. Learn from them at new #AffordableCareAct website http://t.co/0yql,0,affordable care act
4.26838E+17,1/24/14 22:05,0,0,Twitter for iPhone,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26838E+17,1/24/14 22:04,0,0,Friends+Me,#Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act... http://t.co/uNk7tVWo1o http://t.co/zWCBoWoifY,0,affordable care act
4.26838E+17,1/24/14 22:03,0,0,Twitter for Android,#BREAKING: The Obama administration cannot enforce the Affordable Care Acts contraception coverage requirements a via @POLITICO,0,affordable care act
4.26838E+17,1/24/14 22:03,0,0,HootSuite,U.S. Rep. Richard Neal defends Affordable Care Act in response to program opposition and roll-out troubles. http://t.co/saTloC1nWx,0,affordable care act
4.26838E+17,1/24/14 22:03,0,0,Twitter for iPhone,RT @patriciawilley: SCOTUS rules:The Obama administration cannot enforce the Affordable Care Acts contraception coverage requirements #p2 ,0,affordable care act
4.26838E+17,1/24/14 22:03,0,0,web,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26838E+17,1/24/14 22:03,0,0,iOS,#BREAKING: The Obama administration cannot enforce the Affordable Care Acts contraception coverage requirements agai via @POLITICO for iOS,0,affordable care act
4.26837E+17,1/24/14 22:02,0,0,Twitter for iPhone,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26837E+17,1/24/14 22:02,0,0,Facebook,"Some religious affiliated non-profits will remain temporarily exempt from mandates in the Affordable Care Act, or... http://t.co/qCRXzZNuVI",0,affordable care act
4.26837E+17,1/24/14 22:02,0,0,web,RT @billpostmus: #BREAKING: The Obama administration cannot enforce the Affordable Care Acts contraception coverage requirements agai via,0,affordable care act
4.26837E+17,1/24/14 22:01,0,0,SocialNewsDesk,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
4.26837E+17,1/24/14 22:01,0,0,Twitter for iPhone,RT @politico: #Breaking: The Supreme Court is granting a temporary reprieve from the Affordable Care Act's contraceptive mandate: http://t.,0,affordable care act
